,count
42443040,2707
42453005,8325
11337295598,1175
1692433939,5767
1692433938,13447
42448549,9229
4202908174,6656
42430468,4906
42448563,14470
1825841742,11111
1061531429,10977
1061531777,9666
42421969,8022
5706568625,9128
42435253,9157
42435257,9445
7802856365,11650
247223720,5666
42457788,5667
42455662,8452
42427972,8818
42427970,10131
4886250352,3324
42438898,1418
595105499,1526
42435755,1479
42448506,542
2141026523,2569
2141026546,2318
1705982030,3413
2141026506,3897
3099327952,1942
42437177,2199
42437174,1936
42446161,2655
42446164,1163
42446504,7641
42454433,10020
42443563,9709
42455761,6823
42431649,5756
42429970,5873
42456683,5871
42436510,7265
4347534783,8771
42433282,901
42433260,884
42433261,2968
4679523598,1791
42431802,7645
4841945995,1312
339044224,2834
42436129,1843
42436894,2337
42438984,283
42451564,235
3099326127,200
2141026508,763
42439873,180
42439868,119
42436728,163
42435810,475
42448714,19332
5137747688,17272
589100267,16968
42422509,16873
42457925,16706
370913779,21070
370914027,21071
13238997597,25609
370924957,28211
371188750,28210
3785575833,15939
42427965,18295
42427968,8798
42428312,5557
12991873791,16713
42430363,14627
42423564,1546
6680686985,1985
9177540204,845
6177439750,10601
6177439752,7116
42440966,7013
42431563,5310
42431560,5391
42428328,12104
42428315,13423
42428313,13105
10594155706,12013
42428716,3356
42428714,5252
42428711,3744
42428709,3573
4347550071,17622
4347550065,17677
42421993,7805
42431447,8210
42435316,7947
42435317,7742
42435319,7669
42435323,7716
42435328,7177
42425570,7486
42435331,6321
42435333,6162
7801840675,6079
42435336,5903
42435337,5794
42421728,5671
42432736,5426
42435341,4276
42435343,4170
42435346,4484
4016646214,4394
42433743,3533
2141026499,3529
2141026500,2637
2141026525,2481
2141026544,2422
42453220,736
42452564,667
42453226,612
42429727,508
2099150501,282
42428020,9749
42436514,8695
42429562,3441
42445357,3995
42436322,792
42430571,965
42430529,724
42429833,998
42436326,1064
42436327,1176
42436336,3900
42424610,2274
42436308,1105
3788379684,1091
13294718043,1298
596776132,3573
596776078,3011
596775951,6221
596775907,6429
596775919,6884
596775900,8344
596775914,17387
42444954,11027
42434279,11087
42444480,1423
11002109566,1974
42431889,1800
42431898,2485
42421960,1454
42453952,4066
42430004,6093
42429830,4483
42452817,4995
42448171,4818
4143851142,4586
42453777,4205
42447249,4250
42447246,4001
42440825,5360
8996353563,5230
42452040,5613
42449570,2838
42443532,8364
42445018,10620
42443534,6687
42440170,6831
42446363,6890
42449550,6469
