,count
6511274595,5115
371337150,5114
371337197,2262
371337250,2262
589927903,1743
371337269,1740
60925389,1740
373780963,1225
595484175,1225
595481001,1229
42423116,475
42442728,424
42455252,309
42433060,360
42433058,316
42433057,267
42433046,275
42429466,290
42433044,300
42433043,285
42428984,390
42427143,345
42427139,368
42427136,418
4597668029,5334
42445033,6088
42429314,2395
42449187,3230
42433927,4924
2059304025,4921
42440459,8932
42435497,4287
4597668026,22492
42431118,3166
42437920,501
42421751,467
42432764,451
42441910,428
42441913,399
42427762,7215
42431544,5468
42456598,8779
42437589,5829
42432184,5656
1773076513,5137
1773076511,7975
1773076509,4930
1773076778,5612
1773078006,5401
1773082408,5091
1918039904,12274
1773082410,9543
1773084410,12230
1773084391,13603
1061531685,8791
6173564360,9268
1061531707,9521
1061531527,8238
1061531787,8213
1061531608,7780
1061531597,7662
1996323622,7217
1061531491,8590
1061531757,2814
1061531500,2818
1061531634,2988
11655721360,4937
42430259,23421
42430263,20411
42437929,2978
7541804762,2984
2481877071,3005
7541804761,3185
42437801,2239
42439588,1165
42432954,1093
42432955,1111
42432956,1121
42432957,1146
42432960,1361
42432961,1644
42448661,61
42439210,77
561042200,1206
561042198,1106
42445387,5881
42448317,9844
596776021,4690
42456115,2163
42443085,1260
42450071,1451
42447199,1219
42458342,2135
596776497,1564
42446161,2517
42437174,1854
42435509,2935
42436149,2425
42459436,1589
42421775,3879
12989986305,3962
42428814,898
42428807,1048
42428799,1064
42431121,781
42421749,2562
42431116,3323
42431113,3577
42431111,3787
42431108,3865
42431107,4051
42431106,4105
42431096,2945
42431094,1966
42431089,1957
42431078,1948
42431067,2077
42431057,2059
42422016,2152
42431044,2378
42431039,2537
42431037,4855
42431034,4216
42421810,4375
1061531550,2018
11655721355,1943
1061531839,1966
1061531603,5377
6185259892,1835
42428049,1939
42430257,18004
42427797,20009
42430288,19656
370912817,12747
42423774,13736
42426865,13665
7137281959,8298
7137281963,4673
42428328,12742
4544455460,925
42445039,6184
13233711092,11816
42428321,13780
4597668038,16647
4597668036,23406
4597668023,18199
4597668035,18087
42436511,11447
42434895,398
42434894,1411
596775825,309
596776224,350
42430474,3179
42429693,5406
427845226,232
427845236,168
6636032331,108
6656258478,104
42430629,2452
6656315591,2358
6339939226,2350
42430607,2611
42430004,5790
42450341,3393
3099327962,216
3099326128,275
3099327966,249
3099327950,267
42435387,366
42437201,447
42428283,9990
42428277,9852
42445018,10644
42458267,3508
42428444,8707
42449576,4392
42456197,6728
42433578,4582
42454423,5594
42436784,4858
42439530,6196
42439335,4930
42430187,15462
42430205,10267
42430217,19257
42430231,22134
42430233,21628
42430237,30223
42430241,12856
42430247,11361
42430249,11768
42429374,13540
42443009,6019
8840333851,2769
42453777,3892
42447249,3992
42447246,3758
42446991,5808
42438889,6440
42446987,5532
42446986,5511
42434085,7792
42432201,24888
42432199,24810
42432194,27221
42453005,8540
11337295598,1189
427840998,1495
427841062,1926
42441587,1114
42421778,3805
42428065,4627
42428648,5050
42428645,4762
42428640,4761
42428637,4775
42428634,7357
1061531448,5407
9177424867,6688
42428610,5829
42428604,6078
42428601,6142
42428598,6549
42428595,7664
42439464,3919
42440935,3122
7050687060,2699
42442410,2427
42442415,3122
42429999,2636
42442417,2332
1733614298,2250
42442422,2600
9177424868,2000
42429394,12912
42436431,9792
42431503,6560
42436427,7323
42436423,7414
42436414,6582
6213204061,6132
42431814,6586
42431812,6740
42431804,7641
4841945993,6428
